Date,Open,High,Low,Close,Volume
9-Mar-11,89.02,92.45,88.00,90.08,4063151
8-Mar-11,83.20,88.97,81.89,88.73,4254124
7-Mar-11,84.58,85.47,81.00,82.81,2788791
4-Mar-11,79.89,84.39,79.50,84.13,4873360
3-Mar-11,78.08,80.16,78.01,79.25,3190522
2-Mar-11,76.20,76.20,76.20,76.20,0
1-Mar-11,83.17,84.79,80.72,82.00,4567289
28-Feb-11,82.79,84.11,80.61,81.67,2810520
25-Feb-11,81.28,81.28,81.28,81.28,0
24-Feb-11,76.76,79.95,76.37,78.00,3137413
23-Feb-11,78.59,79.77,75.18,75.64,4688517
22-Feb-11,80.06,83.00,77.32,78.12,6673627
18-Feb-11,85.52,85.52,85.52,85.52,0
17-Feb-11,89.71,89.71,88.02,88.10,2223782
16-Feb-11,90.00,90.68,88.66,89.74,2753678
15-Feb-11,94.91,94.98,92.50,93.34,1369582
14-Feb-11,93.68,95.29,93.61,93.89,1098588
11-Feb-11,93.42,94.00,91.93,93.16,1616550
10-Feb-11,90.36,94.30,89.45,94.17,2050975
9-Feb-11,91.48,93.94,90.64,92.50,2027907
8-Feb-11,90.53,91.18,88.07,90.77,1379636
7-Feb-11,92.29,92.84,90.30,90.70,1708249
4-Feb-11,88.50,91.10,88.01,91.09,2010896
3-Feb-11,88.68,90.00,87.00,88.33,1849583
2-Feb-11,85.00,88.19,84.30,87.76,1875212
1-Feb-11,88.25,89.18,85.25,85.49,2311783
31-Jan-11,82.94,85.99,81.85,85.25,2727321
28-Jan-11,82.91,83.73,79.65,80.68,2435229
27-Jan-11,81.20,83.40,81.00,83.06,2369878
26-Jan-11,81.60,82.46,80.50,81.31,2005552
25-Jan-11,83.17,83.17,80.60,81.30,1836124
24-Jan-11,78.75,83.96,78.33,83.50,3376923
21-Jan-11,81.61,81.77,78.13,78.76,2345460
20-Jan-11,80.17,82.91,78.73,79.93,3132574
19-Jan-11,87.49,87.66,80.55,81.09,4638006
18-Jan-11,87.81,90.05,86.50,87.08,3586182
14-Jan-11,88.17,88.17,88.17,88.17,0
13-Jan-11,82.57,87.45,82.43,85.53,3807053
12-Jan-11,84.55,84.64,81.06,81.55,3152011
11-Jan-11,77.86,83.60,77.66,82.77,7371576
10-Jan-11,76.00,76.99,75.14,76.82,1329370
7-Jan-11,75.99,77.34,75.20,75.93,1938518
6-Jan-11,76.52,78.64,75.01,77.08,2385845
5-Jan-11,75.62,76.99,73.90,75.10,1925204
4-Jan-11,74.87,74.87,74.87,74.87,0
3-Jan-11,70.47,71.92,69.12,71.48,1917669
31-Dec-10,70.07,70.18,68.80,68.82,680002
30-Dec-10,70.75,70.78,69.64,70.08,638527
29-Dec-10,70.53,71.18,70.11,70.31,942911
28-Dec-10,70.85,70.85,70.85,70.85,0
27-Dec-10,70.33,71.53,70.00,71.31,854974
23-Dec-10,70.89,70.89,70.89,70.89,0
22-Dec-10,73.63,73.72,70.75,71.00,1606472
21-Dec-10,68.02,73.86,68.02,73.70,2627104
20-Dec-10,69.52,70.29,66.00,67.64,2107173
17-Dec-10,69.18,69.86,68.04,68.89,1348720
16-Dec-10,71.26,71.26,69.54,70.07,1236133
15-Dec-10,68.05,71.02,68.04,70.83,2047060
14-Dec-10,70.99,71.50,68.20,68.67,2439501
13-Dec-10,73.98,74.62,70.91,71.16,1758024
10-Dec-10,76.00,76.36,73.24,73.88,2415283
9-Dec-10,71.86,75.80,71.74,75.62,3380190
8-Dec-10,69.10,71.51,69.10,71.50,1681142
7-Dec-10,70.35,70.47,68.65,69.10,1386971
6-Dec-10,69.52,70.34,69.00,69.25,918253
3-Dec-10,67.58,69.39,67.31,69.06,1335923
2-Dec-10,67.46,68.00,66.60,67.99,1821980
1-Dec-10,65.78,68.88,65.44,66.93,2186452
30-Nov-10,64.88,65.03,63.24,64.02,1583428
29-Nov-10,61.39,65.55,61.20,65.19,2936766
26-Nov-10,61.80,62.47,61.54,61.81,478832
24-Nov-10,62.13,62.13,62.13,62.13,0
23-Nov-10,58.91,60.50,58.57,59.95,1254492
22-Nov-10,59.46,60.97,57.97,60.09,2314223
19-Nov-10,60.77,60.77,59.50,59.64,1384499
18-Nov-10,60.88,61.90,60.00,61.06,1908063
17-Nov-10,56.35,61.73,56.25,60.32,6144985
16-Nov-10,57.97,58.08,56.33,56.99,2027494
15-Nov-10,60.44,60.50,58.13,58.53,1075720
12-Nov-10,59.39,60.00,58.00,58.70,1256961
11-Nov-10,59.95,60.68,59.60,60.49,1798595
10-Nov-10,61.24,62.11,59.74,61.79,1375011
9-Nov-10,63.00,63.52,60.80,61.34,1422370
8-Nov-10,60.70,63.29,58.62,62.60,2716886
5-Nov-10,58.75,60.36,58.43,59.14,1200708
4-Nov-10,57.85,58.65,56.91,58.45,1940219
3-Nov-10,56.50,57.03,55.82,57.00,851174
2-Nov-10,55.69,56.58,55.02,56.49,965628
1-Nov-10,56.60,58.00,54.64,55.24,1267630
29-Oct-10,54.77,56.57,54.12,56.30,744387
28-Oct-10,55.86,55.86,54.18,54.83,740313
27-Oct-10,55.36,55.75,54.00,55.42,1723384
26-Oct-10,56.67,57.80,55.72,55.85,1203517
